Crop and MarinePlant SubClassOf Arthropod, True
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Bird and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and BlueGreenAlgae and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, Here are
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Ciliate and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and Sporozoan and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Nutrient and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousSpecies and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nHere
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and Mammal and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nHere
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Protist and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Centipede and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Arthropod and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, Here are
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineBird and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and Echinoderm and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, Here are
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mollusk and Moss and Mushroom and Phytoplankton and Plant and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mold and Mollusk and Moss and Mushroom and Phytoplankton and Plant and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, \nTrue
Crop SubClassOf Algae and Amoebae and Anemone and Arachnid and Bacteria and Canopy and Chlorophyll and Coccolithophore and Conifer and Crown and Crustacean and Dairy and DeciduousVegetation and Diatom and DominantSpecies and EvergreenVegetation and ExoticSpecies and ExoticVegetation and Fern and Flagellate and Flatworm and FloweringPlant and Fungi and FungiTaxonomy and Human and IndigenousVegetation and Insect and Invertebrate and Jellyfish and Leaf and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineInvertebrate and MarineMammal and MarineMicrobiota and Microalgae and Microbiota and MicrobiotaTaxonomy and Millipede and Mold and Mollusk and Moss and Mushroom and Phytoplankton and Plant and Poultry and Radiolarian and Reptile and Roundworm and SlimeMold and TreeRing and Vegetation and VegetationCover and VegetationSpecies and Vertebrate and Yeast and Zooplankton, True or
Mammal and SlimeMold SubClassOf Vertebrate, True
Mammal and SlimeMold SubClassOf VegetationCover, True
SlimeMold SubClassOf VegetationCover, True
SlimeMold SubClassOf Microalgae, True
SlimeMold SubClassOf Microalgae and VegetationCover, True
SlimeMold SubClassOf Fungi, True
SlimeMold SubClassOf Fungi and Microalgae and VegetationCover, \nTrue
SlimeMold SubClassOf Arachnid, \nFalse
SlimeMold SubClassOf VegetationSpecies, True
SlimeMold SubClassOf Fungi and Microalgae and VegetationCover and VegetationSpecies, \nTrue
SlimeMold SubClassOf Livestock, True
SlimeMold SubClassOf Fungi and Livestock and Microalgae and VegetationCover and VegetationSpecies, \nTrue
SlimeMold SubClassOf Sponge, True
SlimeMold SubClassOf Fungi and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
SlimeMold SubClassOf Flatworm, True
SlimeMold SubClassOf Flatworm and Fungi and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
SlimeMold SubClassOf Diatom, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
SlimeMold SubClassOf FungiTaxonomy, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and FungiTaxonomy and Livestock and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nHere
SlimeMold SubClassOf MarinePlant, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and Livestock and MarinePlant and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
SlimeMold SubClassOf Moss, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and Livestock and MarinePlant and Microalgae and Moss and Sponge and VegetationCover and VegetationSpecies, \nTrue
SlimeMold SubClassOf Vertebrate, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and Livestock and MarinePlant and Microalgae and Moss and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Radiolarian, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and Livestock and MarinePlant and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Human, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and Human and Livestock and MarinePlant and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf MarineMicrobiota, True
SlimeMold SubClassOf Diatom and Flatworm and Fungi and Human and Livestock and MarineMicrobiota and MarinePlant and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Animal, True
SlimeMold SubClassOf Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMicrobiota and MarinePlant and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Flagellate, True
SlimeMold SubClassOf Animal and Diatom and Flagellate and Flatworm and Fungi and Human and Livestock and MarineMicrobiota and MarinePlant and Microalgae and Moss and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
SlimeMold SubClassOf Poultry, True
SlimeMold SubClassOf Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMicrobiota and MarinePlant and Microalgae and Moss and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf MarineMammal, True
SlimeMold SubClassOf Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Moss and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Amphibian, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Moss and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Millipede, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Millipede and Moss and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, Here are
SlimeMold SubClassOf Plankton, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Moss and Plankton and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Roundworm, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Moss and Plankton and Poultry and Radiolarian and Roundworm and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
SlimeMold SubClassOf Microphyte, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Microbiota, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microbiota and Microphyte and Moss and Plankton and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
SlimeMold SubClassOf MicrobiotaTaxonomy, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and MicrobiotaTaxonomy and Microphyte and Moss and Plankton and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, True:
SlimeMold SubClassOf Coccolithophore, True
SlimeMold SubClassOf Amphibian and Animal and Coccolithophore and Diatom and Flatworm and Fungi and Human and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
SlimeMold SubClassOf Lichen, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Lichen and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Leaf, False
SlimeMold SubClassOf Pollen, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Lichen and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Mushroom, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Lichen and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Mushroom and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
SlimeMold SubClassOf Fish, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Fish and Flatworm and Fungi and Human and Lichen and Livestock and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
SlimeMold SubClassOf Reptile, False
SlimeMold SubClassOf MarineAnimal, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Lichen and Livestock and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Macroalgae, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Fungi and Human and Lichen and Livestock and Macroalgae and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Foraminifer, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Livestock and Macroalgae and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Dairy, False
SlimeMold SubClassOf Liverwort, True
SlimeMold SubClassOf Amphibian and Animal and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and Macroalgae and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Crustacean, True
SlimeMold SubClassOf Amphibian and Animal and Crustacean and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and Macroalgae and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Canopy, True
SlimeMold SubClassOf Amphibian and Animal and Canopy and Crustacean and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and Macroalgae and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Coral, False
SlimeMold SubClassOf ExoticVegetation, True
SlimeMold SubClassOf Amphibian and Animal and Canopy and Crustacean and Diatom and ExoticVegetation and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and Macroalgae and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, True or
SlimeMold SubClassOf Macrophyte, True
SlimeMold SubClassOf Amphibian and Animal and Canopy and Crustacean and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf SegmentedWorm, True
SlimeMold SubClassOf Amphibian and Animal and Canopy and Crustacean and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and SegmentedWorm and Sponge and VegetationCover and VegetationSpecies and Vertebrate, True:
SlimeMold SubClassOf LivingThing, True
SlimeMold SubClassOf Amphibian and Animal and Canopy and Crustacean and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Bird, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crustacean and Diatom and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Fern, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crustacean and Diatom and Fern and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf DominantSpecies, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crustacean and Diatom and DominantSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf BlueGreenAlgae, False
SlimeMold SubClassOf EvergreenVegetation, False
SlimeMold SubClassOf TreeRing, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crustacean and Diatom and DominantSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and TreeRing and VegetationCover and VegetationSpecies and Vertebrate, \nHere
SlimeMold SubClassOf Vegetation, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crustacean and Diatom and DominantSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf ExoticSpecies, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Lichen and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Litter, True
SlimeMold SubClassOf Amphibian and Animal and Bird and Canopy and Crustacean and Diatom and DominantSpecies and ExoticSpecies and Fern and Flatworm and Foraminifer and Fungi and Human and Lichen and Litter and Liverwort and Livestock and LivingThing and Macroalgae and Macrophyte and MarineAnimal and MarineMammal and MarineMicrobiota and MarinePlant and Microalgae and Microphyte and Moss and Plankton and Pollen and Poultry and Radiolarian and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, \nTrue
SlimeMold SubClassOf Crown, True
