Crop and MarinePlant SubClassOf Arthropod, \nFalse
Can MarineMammal that is also Poultry be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Coral that is also Diatom be considered a subcategory of 'Coccolithophore'?, \nFalse
Can Coral that is also Yeast be considered a subcategory of 'Nutrient'?, \nFalse
Can Algae that is also Protist be considered a subcategory of 'Invertebrate'?, \nTrue
Can Algae that is also Protist be considered a subcategory of 'VegetationCover'?, \nFalse
Can Algae that is also Protist be considered a subcategory of 'Microalgae'?, \nTrue
Can Algae be considered a subcategory of 'Microalgae'?, \nTrue
Can Algae be considered a subcategory of 'Fungi'?, \nFalse
Can Algae be considered a subcategory of 'Arachnid'?, \nFalse
Can Algae be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can Algae be considered a subcategory of 'Livestock'?, \nFalse
Can Algae be considered a subcategory of 'Sponge'?, \nFalse
Can Algae be considered a subcategory of 'Flatworm'?, \nFalse
Can Algae be considered a subcategory of 'Diatom'?, \nFalse
Can Algae be considered a subcategory of 'FungiTaxonomy'?, \nFalse
Can Algae be considered a subcategory of 'MarinePlant'?, \nTrue
Can Algae be considered a subcategory of 'MarinePlant that is also Microalgae'?, \nTrue
Can Algae be considered a subcategory of 'Moss'?, \nFalse
Can Algae be considered a subcategory of 'Vertebrate'?, \nFalse
Can Algae be considered a subcategory of 'Radiolarian'?, \nFalse
Can Algae be considered a subcategory of 'Human'?, \nFalse
Can Algae be considered a subcategory of 'MarineMicrobiota'?, \nTrue
Can Algae be considered a subcategory of 'MarineMicrobiota that is also MarinePlant that is also Microalgae'?, \nTrue
Can Algae be considered a subcategory of 'Animal'?, \nFalse
Can Algae be considered a subcategory of 'Flagellate'?, \nFalse
Can Algae be considered a subcategory of 'Poultry'?, \nFalse
Can Algae be considered a subcategory of 'MarineMammal'?, \nFalse
Can Algae be considered a subcategory of 'Amphibian'?, \nFalse
Can Algae be considered a subcategory of 'Millipede'?, \nFalse
Can Algae be considered a subcategory of 'Roundworm'?, \nFalse
Can Algae be considered a subcategory of 'Microphyte'?, \nTrue
Can Algae be considered a subcategory of 'MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte'?, \nTrue
Can Algae be considered a subcategory of 'SlimeMold'?, \nFalse
Can Algae be considered a subcategory of 'Microbiota'?, \nFalse
Can Algae be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can Algae be considered a subcategory of 'Coccolithophore'?, \nFalse
Can Algae be considered a subcategory of 'Lichen'?, \nFalse
Can Algae be considered a subcategory of 'Leaf'?, \nFalse
Can Algae be considered a subcategory of 'Pollen'?, \nFalse
Can Algae be considered a subcategory of 'Mushroom'?, \nFalse
Can Algae be considered a subcategory of 'Fish'?, \nFalse
Can Algae be considered a subcategory of 'Reptile'?, \nFalse
Can Algae be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Algae be considered a subcategory of 'Macroalgae'?, \nTrue
Can Algae be considered a subcategory of 'Macroalgae that is also MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte'?, \nFalse
Can Algae be considered a subcategory of 'Foraminifer'?, \nFalse
Can Algae be considered a subcategory of 'Dairy'?, \nFalse
Can Algae be considered a subcategory of 'Liverwort'?, \nFalse
Can Algae be considered a subcategory of 'Crustacean'?, \nFalse
Can Algae be considered a subcategory of 'Canopy'?, \nFalse
Can Algae be considered a subcategory of 'Coral'?, \nFalse
Can Algae be considered a subcategory of 'ExoticVegetation'?, \nFalse
Can Algae be considered a subcategory of 'Macrophyte'?, \nTrue
Can Algae be considered a subcategory of 'Macrophyte that is also MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte'?, \nFalse
Can Algae be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can Algae be considered a subcategory of 'LivingThing'?, \nTrue
Can Algae be considered a subcategory of 'LivingThing that is also MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte'?, \nTrue
Can Algae be considered a subcategory of 'Bird'?, \nFalse
Can Algae be considered a subcategory of 'Fern'?, \nFalse
Can Algae be considered a subcategory of 'DominantSpecies'?, \nFalse
Can Algae be considered a subcategory of 'BlueGreenAlgae'?, \nFalse
Can Algae be considered a subcategory of 'EvergreenVegetation'?, \nTrue
Can Algae be considered a subcategory of 'EvergreenVegetation that is also LivingThing that is also MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte'?, \nTrue
Can Algae be considered a subcategory of 'TreeRing'?, \nFalse
Can Algae be considered a subcategory of 'Vegetation'?, \nFalse
Can Algae be considered a subcategory of 'ExoticSpecies'?, \nFalse
Can Algae be considered a subcategory of 'Litter'?, \nFalse
Can Algae be considered a subcategory of 'Crown'?, \nFalse
Can Algae be considered a subcategory of 'Jellyfish'?, \nFalse
Can Algae be considered a subcategory of 'Invertebrate'?, \nFalse
Can Algae be considered a subcategory of 'Anemone'?, \nFalse
Can Algae be considered a subcategory of 'Ciliate'?, \nFalse
Can Algae be considered a subcategory of 'Zooplankton'?, \nFalse
Can Algae be considered a subcategory of 'FloweringPlant'?, \nFalse
Can Algae be considered a subcategory of 'Sporozoan'?, \nFalse
Can Algae be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can Algae be considered a subcategory of 'Nutrient'?, \nFalse
Can Algae be considered a subcategory of 'IndigenousSpecies'?, \nFalse
Can Algae be considered a subcategory of 'MarineInvertebrate'?, \nFalse
Can Algae be considered a subcategory of 'Conifer'?, \nFalse
Can Algae be considered a subcategory of 'Yeast'?, \nFalse
Can Algae be considered a subcategory of 'Mammal'?, \nFalse
Can Algae be considered a subcategory of 'Protist'?, \nFalse
Can Algae be considered a subcategory of 'Centipede'?, \nFalse
Can Algae be considered a subcategory of 'Crop'?, \nFalse
Can Algae be considered a subcategory of 'Arthropod'?, \nFalse
Can Algae be considered a subcategory of 'MarineBird'?, \nFalse
Can Algae be considered a subcategory of 'Chlorophyll'?, \nFalse
Can Algae be considered a subcategory of 'Mollusk'?, \nFalse
Can Algae be considered a subcategory of 'Echinoderm'?, \nFalse
Can Algae be considered a subcategory of 'Plant'?, \nFalse
Can Algae be considered a subcategory of 'Amoebae'?, \nFalse
Can Algae be considered a subcategory of 'Insect'?, \nFalse
Can Algae be considered a subcategory of 'Mold'?, \nFalse
Can Algae be considered a subcategory of 'Bacteria'?, \nFalse
Can Algae be considered a subcategory of 'DeciduousVegetation'?, \nFalse
Can Algae be considered a subcategory of 'Phytoplankton'?, \nTrue
Can Algae be considered a subcategory of 'EvergreenVegetation that is also LivingThing that is also MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte that is also Phytoplankton'?, \nTrue
Can Algae be considered a subcategory of 'EvergreenVegetation that is also LivingThing that is also Macroalgae that is also MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte that is also Phytoplankton'?, \nFalse
Can Algae be considered a subcategory of 'EvergreenVegetation that is also LivingThing that is also Macrophyte that is also MarineMicrobiota that is also MarinePlant that is also Microalgae that is also Microphyte that is also Phytoplankton'?, \nTrue
Can Coccolithophore that is also Vertebrate be considered a subcategory of 'Coral'?, \nFalse
Can FloweringPlant that is also Microbiota be considered a subcategory of 'DeciduousVegetation'?, \nFalse
Can Leaf that is also Macrophyte be considered a subcategory of 'Diatom'?, \nFalse
Can Centipede that is also Invertebrate be considered a subcategory of 'Human'?, \nFalse
Can Chlorophyll that is also FungiTaxonomy be considered a subcategory of 'Amphibian'?, \nFalse
Can MarineAnimal that is also Mushroom be considered a subcategory of 'Algae'?, \nFalse
Can Fish that is also Mammal be considered a subcategory of 'Bacteria'?, \nFalse
Can Lichen that is also Reptile be considered a subcategory of 'Leaf'?, \nFalse
Can Crown that is also Sponge be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Arthropod that is also Canopy be considered a subcategory of 'Centipede'?, \nFalse
Can Litter that is also Vegetation be considered a subcategory of 'Pollen'?, \nFalse
Can Protist that is also SegmentedWorm be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can IndigenousSpecies that is also Sporozoan be considered a subcategory of 'Conifer'?, \nFalse
Can Insect that is also Livestock be considered a subcategory of 'DeciduousVegetation'?, \nFalse
Can TreeRing that is also VegetationCover be considered a subcategory of 'Coral'?, \nFalse
Can Dairy that is also Macrophyte be considered a subcategory of 'Ciliate'?, \nFalse
Can Fungi that is also Roundworm be considered a subcategory of 'Livestock'?, \nFalse
Can ExoticSpecies that is also Protist be considered a subcategory of 'Crustacean'?, \nFalse
Can Crown that is also Foraminifer be considered a subcategory of 'ExoticVegetation'?, \nFalse
Can VegetationCover be considered a subcategory of 'Arachnid'?, \nFalse
Can Anemone that is also Invertebrate be considered a subcategory of 'Jellyfish'?, \nFalse
Can Amoebae that is also Poultry be considered a subcategory of 'Sponge'?, \nFalse
Can IndigenousSpecies that is also Litter be considered a subcategory of 'Yeast'?, \nFalse
Can Amphibian that is also Sporozoan be considered a subcategory of 'Coral'?, \nFalse
Can Crustacean that is also DominantSpecies be considered a subcategory of 'Mushroom'?, \nFalse
Can Fish that is also Mammal be considered a subcategory of 'Roundworm'?, \nFalse
Can Bacteria that is also VegetationSpecies be considered a subcategory of 'Diatom'?, \nFalse
Can Amoebae that is also ExoticVegetation be considered a subcategory of 'SlimeMold'?, \nFalse
Can Fern that is also Invertebrate be considered a subcategory of 'Millipede'?, \nFalse
Can ExoticSpecies that is also Flatworm be considered a subcategory of 'Reptile'?, \nFalse
Can Arachnid that is also VegetationCover be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can Bird that is also ExoticSpecies be considered a subcategory of 'Radiolarian'?, \nFalse
Can Liverwort that is also Microphyte be considered a subcategory of 'Yeast'?, \nFalse
Can Dairy that is also Mold be considered a subcategory of 'VegetationCover'?, \nFalse
Can Plankton that is also Roundworm be considered a subcategory of 'Amphibian'?, \nFalse
Can Arachnid that is also Flatworm be considered a subcategory of 'Centipede'?, \nFalse
Can Fish that is also Mushroom be considered a subcategory of 'Bacteria'?, \nFalse
Can Animal that is also Yeast be considered a subcategory of 'Poultry'?, \nFalse
Can Fern that is also Mollusk be considered a subcategory of 'Livestock'?, \nFalse
Can ExoticVegetation that is also Millipede be considered a subcategory of 'Fern'?, \nFalse
Can Echinoderm that is also Zooplankton be considered a subcategory of 'Leaf'?, \nFalse
Can Ciliate that is also MarineInvertebrate be considered a subcategory of 'DeciduousVegetation'?, \nFalse
Can Insect that is also Plant be considered a subcategory of 'Conifer'?, \nFalse
Can ExoticSpecies that is also Nutrient be considered a subcategory of 'Phytoplankton'?, \nFalse
Can Centipede that is also Yeast be considered a subcategory of 'Flagellate'?, \nFalse
Can DominantSpecies that is also Radiolarian be considered a subcategory of 'Yeast'?, \nFalse
Can Bacteria that is also Vertebrate be considered a subcategory of 'Sponge'?, \nFalse
Can Arthropod that is also SlimeMold be considered a subcategory of 'VegetationCover'?, \nFalse
Can Chlorophyll that is also Pollen be considered a subcategory of 'Poultry'?, \nFalse
Can Bird that is also Microphyte be considered a subcategory of 'IndigenousSpecies'?, \nFalse
Can Centipede that is also MarineAnimal be considered a subcategory of 'Echinoderm'?, \nFalse
Can Mold that is also SlimeMold be considered a subcategory of 'Amphibian'?, \nFalse
Can Jellyfish that is also Moss be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can Ciliate that is also Nutrient be considered a subcategory of 'Dairy'?, \nFalse
Can Echinoderm that is also Mushroom be considered a subcategory of 'Fern'?, \nFalse
Can Bacteria that is also Litter be considered a subcategory of 'Liverwort'?, \nFalse
Can FungiTaxonomy that is also MarineAnimal be considered a subcategory of 'Mollusk'?, \nFalse
Can Flatworm that is also Sponge be considered a subcategory of 'Zooplankton'?, \nFalse
Can Crustacean that is also MarineAnimal be considered a subcategory of 'Foraminifer'?, \nFalse
Can Arthropod that is also Vertebrate be considered a subcategory of 'Macrophyte'?, \nFalse
Can Centipede that is also Fish be considered a subcategory of 'Mold'?, \nFalse
Can DeciduousVegetation that is also DominantSpecies be considered a subcategory of 'Insect'?, \nFalse
Can Flagellate that is also Nutrient be considered a subcategory of 'Plankton'?, \nFalse
Can Echinoderm that is also SegmentedWorm be considered a subcategory of 'Amoebae'?, \nFalse
Can Phytoplankton that is also Pollen be considered a subcategory of 'TreeRing'?, \nFalse
Can Bird that is also Reptile be considered a subcategory of 'Ciliate'?, \nFalse
Can MicrobiotaTaxonomy that is also Mollusk be considered a subcategory of 'Jellyfish'?, \nFalse
Can IndigenousVegetation that is also Livestock be considered a subcategory of 'Human'?, \nFalse
Can IndigenousSpecies that is also Moss be considered a subcategory of 'Crustacean'?, \nFalse
Can MarineMammal that is also Roundworm be considered a subcategory of 'Protist'?, \nFalse
Can Amoebae that is also Foraminifer be considered a subcategory of 'Algae'?, \nFalse
Can Foraminifer that is also Vegetation be considered a subcategory of 'MarineBird'?, \nFalse
Can MarineBird that is also MarineMicrobiota be considered a subcategory of 'Vegetation'?, \nFalse
Can DeciduousVegetation that is also VegetationCover be considered a subcategory of 'Liverwort'?, \nFalse
Can Moss that is also Reptile be considered a subcategory of 'Radiolarian'?, \nFalse
Can BlueGreenAlgae that is also Microphyte be considered a subcategory of 'Anemone'?, \nFalse
Can Liverwort that is also Poultry be considered a subcategory of 'Crop'?, \nFalse
Can Bird that is also Radiolarian be considered a subcategory of 'Insect'?, \nFalse
Can Human that is also Protist be considered a subcategory of 'Mold'?, \nFalse
Can DeciduousVegetation that is also Plankton be considered a subcategory of 'Ciliate'?, \nFalse
Can Crop that is also MarineAnimal be considered a subcategory of 'Macrophyte'?, \nFalse
Can Arachnid that is also Echinoderm be considered a subcategory of 'Pollen'?, \nFalse
Can ExoticSpecies that is also Zooplankton be considered a subcategory of 'MarineMammal'?, \nFalse
Can MicrobiotaTaxonomy that is also Plant be considered a subcategory of 'Coccolithophore'?, \nFalse
Can IndigenousVegetation that is also Millipede be considered a subcategory of 'Chlorophyll'?, \nFalse
Can Fern that is also SegmentedWorm be considered a subcategory of 'DeciduousVegetation'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Nutrient'?, \nTrue
Can Crop that is also Microalgae be considered a subcategory of 'Diatom'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Radiolarian'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Human'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Poultry'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'MarineMammal'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Amphibian'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Millipede'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Roundworm'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'SlimeMold'?, \nFalse
Can Crop that is also Microalgae be considered a subcategory of 'Microbiota'?, \nTrue
Can Crop be considered a subcategory of 'Microbiota'?, \nFalse
Can DominantSpecies that is also MarineAnimal be considered a subcategory of 'Diatom'?, \nFalse
Can MarineInvertebrate that is also Mold be considered a subcategory of 'Moss'?, \nFalse
Can DominantSpecies that is also Human be considered a subcategory of 'Animal'?, \nFalse
Can Amphibian that is also Coral be considered a subcategory of 'Arachnid'?, \nFalse
Can Mammal that is also Zooplankton be considered a subcategory of 'SlimeMold'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Litter'?, \nTrue
Can Coral that is also Mold be considered a subcategory of 'VegetationCover'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Microalgae'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Arachnid'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Livestock'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Sponge'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Flatworm'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Diatom'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'MarinePlant'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Moss'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Vertebrate'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Radiolarian'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'MarineMicrobiota'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Animal'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Flagellate'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Poultry'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'MarineMammal'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Amphibian'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Millipede'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Plankton'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Roundworm'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Microphyte'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Microbiota'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'MicrobiotaTaxonomy'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Coccolithophore'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Lichen'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Leaf'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Pollen'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Mushroom'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Fish'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Reptile'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Macroalgae'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Foraminifer'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Dairy'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Liverwort'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Crustacean'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Canopy'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'ExoticVegetation'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Macrophyte'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Bird'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Fern'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'DominantSpecies'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'BlueGreenAlgae'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'EvergreenVegetation'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'TreeRing'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'Vegetation'?, \nFalse
Can Coral that is also Mold be considered a subcategory of 'ExoticSpecies'?, \nFalse
Can Coral be considered a subcategory of 'Litter'?, \nFalse
Can Invertebrate that is also Roundworm be considered a subcategory of 'Chlorophyll'?, \nFalse
Can Foraminifer that is also Jellyfish be considered a subcategory of 'Fish'?, \nFalse
Can BlueGreenAlgae that is also Microphyte be considered a subcategory of 'Conifer'?, \nFalse
Can Ciliate that is also Vegetation be considered a subcategory of 'Pollen'?, \nFalse
Can Flagellate that is also MicrobiotaTaxonomy be considered a subcategory of 'TreeRing'?, \nFalse
Can Crop that is also Liverwort be considered a subcategory of 'Animal'?, \nFalse
Can Pollen that is also VegetationSpecies be considered a subcategory of 'DominantSpecies'?, \nFalse
Can Anemone that is also Dairy be considered a subcategory of 'FungiTaxonomy'?, \nFalse
Can Fern that is also Human be considered a subcategory of 'ExoticVegetation'?, \nFalse
Can Phytoplankton that is also Zooplankton be considered a subcategory of 'Crustacean'?, \nFalse
Can Foraminifer that is also IndigenousSpecies be considered a subcategory of 'Macroalgae'?, \nFalse
Can Nutrient that is also Radiolarian be considered a subcategory of 'Microbiota'?, \nFalse
Can Crop that is also SlimeMold be considered a subcategory of 'Amphibian'?, \nFalse
Can Lichen that is also Microbiota be considered a subcategory of 'Centipede'?, \nFalse
Can Diatom that is also Liverwort be considered a subcategory of 'Lichen'?, \nFalse
Can VegetationSpecies be considered a subcategory of 'Flatworm'?, \nFalse
Can Crustacean that is also Flagellate be considered a subcategory of 'DominantSpecies'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'MicrobiotaTaxonomy'?, \nTrue
Can Animal that is also Ciliate be considered a subcategory of 'VegetationCover'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Microalgae'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Arachnid'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'VegetationSpecies'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Sponge'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Flatworm'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'FungiTaxonomy'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'MarinePlant'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Moss'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Radiolarian'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Human'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'MarineMicrobiota'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Flagellate'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Poultry'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'MarineMammal'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Amphibian'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Millipede'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Plankton'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Roundworm'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Microphyte'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'SlimeMold'?, \nFalse
Can Animal that is also Ciliate be considered a subcategory of 'Microbiota'?, \nTrue
Can Ciliate be considered a subcategory of 'Microbiota'?, \nFalse
Can Dairy that is also Flagellate be considered a subcategory of 'Arachnid'?, \nFalse
Can Amphibian that is also Phytoplankton be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Arachnid be considered a subcategory of 'SlimeMold'?, \nFalse
Can Fish that is also Insect be considered a subcategory of 'Radiolarian'?, \nFalse
Can Conifer that is also IndigenousSpecies be considered a subcategory of 'Bird'?, \nFalse
Can EvergreenVegetation that is also Fungi be considered a subcategory of 'SegmentedWorm'?, \nFalse
Can Diatom that is also Fern be considered a subcategory of 'Mold'?, \nFalse
Can MarineInvertebrate that is also Plankton be considered a subcategory of 'Bacteria'?, \nFalse
Can IndigenousSpecies that is also Mammal be considered a subcategory of 'Centipede'?, \nFalse
Can IndigenousVegetation that is also Jellyfish be considered a subcategory of 'Fern'?, \nFalse
Can Chlorophyll that is also Coral be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can Canopy that is also Moss be considered a subcategory of 'Conifer'?, \nFalse
Can Foraminifer that is also Mammal be considered a subcategory of 'Dairy'?, \nFalse
Can MarineMammal that is also Phytoplankton be considered a subcategory of 'Litter'?, \nFalse
Can MarineInvertebrate that is also Microbiota be considered a subcategory of 'Fish'?, \nFalse
Can Bird that is also Flatworm be considered a subcategory of 'TreeRing'?, \nFalse
Can Macroalgae that is also Macrophyte be considered a subcategory of 'Pollen'?, \nFalse
Can Lichen that is also MarineMicrobiota be considered a subcategory of 'ExoticSpecies'?, \nFalse
Can Liverwort that is also MarineMicrobiota be considered a subcategory of 'Invertebrate'?, \nFalse
Can MarineAnimal that is also Mollusk be considered a subcategory of 'Arthropod'?, \nFalse
Can Fern that is also Poultry be considered a subcategory of 'MarineInvertebrate'?, \nFalse
Can Fish that is also MarineMicrobiota be considered a subcategory of 'Lichen'?, \nFalse
Can Coccolithophore that is also Crown be considered a subcategory of 'Echinoderm'?, \nFalse
Can Crop that is also Fern be considered a subcategory of 'Flagellate'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'IndigenousSpecies'?, \nTrue
Can Algae that is also MarinePlant be considered a subcategory of 'Diatom'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'Radiolarian'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'Human'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'Poultry'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'MarineMammal'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'Amphibian'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'Millipede'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'Roundworm'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'SlimeMold'?, \nFalse
Can Algae that is also MarinePlant be considered a subcategory of 'Microbiota'?, \nTrue
Can Canopy that is also Invertebrate be considered a subcategory of 'Dairy'?, \nFalse
Can FungiTaxonomy that is also Plant be considered a subcategory of 'MarineBird'?, \nFalse
Can Human that is also MarineMammal be considered a subcategory of 'Flatworm'?, \nFalse
Can Amphibian that is also Leaf be considered a subcategory of 'Liverwort'?, \nFalse
Can DominantSpecies that is also Vegetation be considered a subcategory of 'Mollusk'?, \nFalse
Can Amphibian that is also Sponge be considered a subcategory of 'Fern'?, \nFalse
Can Animal that is also SegmentedWorm be considered a subcategory of 'IndigenousVegetation'?, \nFalse
Can Bird that is also Coral be considered a subcategory of 'Macrophyte'?, \nFalse
Can IndigenousVegetation that is also MarineAnimal be considered a subcategory of 'Chlorophyll'?, \nFalse
Can Livestock that is also SlimeMold be considered a subcategory of 'Pollen'?, \nFalse
Can MarineMicrobiota that is also VegetationSpecies be considered a subcategory of 'Insect'?, \nFalse
Can Mollusk that is also SlimeMold be considered a subcategory of 'Foraminifer'?, \nFalse
Can Amphibian that is also Chlorophyll be considered a subcategory of 'Amoebae'?, \nFalse
Can Animal that is also ExoticSpecies be considered a subcategory of 'Crustacean'?, \nFalse
Can Conifer that is also Jellyfish be considered a subcategory of 'Human'?, \nFalse
Can Fungi that is also MicrobiotaTaxonomy be considered a subcategory of 'BlueGreenAlgae'?, \nFalse
Can Ciliate that is also Leaf be considered a subcategory of 'Coral'?, \nFalse
Can Invertebrate that is also MarinePlant be considered a subcategory of 'Mushroom'?, \nFalse
Can Flatworm that is also MarineInvertebrate be considered a subcategory of 'Roundworm'?, \nFalse
Can Anemone that is also Poultry be considered a subcategory of 'Canopy'?, \nFalse
Can EvergreenVegetation that is also Nutrient be considered a subcategory of 'Poultry'?, \nFalse
Can Anemone that is also Insect be considered a subcategory of 'EvergreenVegetation'?, \nFalse
Can Algae that is also Crown be considered a subcategory of 'Anemone'?, \nFalse
Can Protist that is also Zooplankton be considered a subcategory of 'Amphibian'?, \nFalse
Can Livestock that is also Sporozoan be considered a subcategory of 'MarineAnimal'?, \nFalse
Can Coccolithophore that is also Macroalgae be considered a subcategory of 'Leaf'?, \nFalse
Can EvergreenVegetation that is also Plankton be considered a subcategory of 'Crop'?, \nFalse
Can Fungi that is also SegmentedWorm be considered a subcategory of 'Crown'?, \nFalse
Can Lichen that is also Mushroom be considered a subcategory of 'Coral'?, \nFalse
Can DominantSpecies that is also Millipede be considered a subcategory of 'Coccolithophore'?, \nFalse
Can Canopy that is also Chlorophyll be considered a subcategory of 'Human'?, \nFalse
Can Bacteria that is also Mammal be considered a subcategory of 'Crustacean'?, \nFalse
Can Arthropod that is also Dairy be considered a subcategory of 'Nutrient'?, \nFalse
Can Moss that is also Nutrient be considered a subcategory of 'TreeRing'?, \nFalse
Can Anemone that is also Macroalgae be considered a subcategory of 'Ciliate'?, \nFalse
