HomocysteineLevel and ModerateMontgomeryAsbergDepressionRating SubClassOf GenotypeMeasure, \nTrue
Can RemissionFrequency that is also SatietyMeasure be considered a subcategory of 'ForcedExperiatoryVolume'?, \nFalse
Can RemissionFrequency that is also SatietyMeasure be considered a subcategory of 'DailyBloodPressure'?, \nFalse
Can RemissionFrequency that is also SatietyMeasure be considered a subcategory of 'HighRemission'?, \nTrue
Can RemissionFrequency be considered a subcategory of 'HighRemission'?, \nFalse
Can SatietyMeasure be considered a subcategory of 'HighRemission'?, \nFalse
Can BodyMassIndex that is also DepressionMeasure be considered a subcategory of 'DailyBloodPressure'?, \nFalse
Can BodyMassIndex that is also BodyMassIndexDifference be considered a subcategory of 'MolecularMeasure'?, \nTrue
Can BodyMassIndex that is also BodyMassIndexDifference be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can BodyMassIndex be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can ClinicalOutcomeMeasure that is also LowReductionInHamiltonAnxietyScore be considered a subcategory of 'PopulationVariation'?, \nFalse
Can DrugEfficacy that is also HamiltonAnxietyScore be considered a subcategory of 'HamiltonDepressionScoreDifference'?, \nFalse
Can LowReductionInChildDepressionScore that is also ReninAngiotensinSystemMeasure be considered a subcategory of 'BodyMassIndexDecrease'?, \nFalse
Can ForcedExperiatoryVolume that is also LowMontgomeryAsbergDepressionRating be considered a subcategory of 'PathogenCount'?, \nFalse
Can Dose that is also Satiety be considered a subcategory of 'SideEffectRate'?, \nFalse
Can ElectrocardiogramQTInterval that is also ModerateRemission be considered a subcategory of 'DoseFrequency'?, \nFalse
Can AnxietyMeasure that is also MolecularMeasure be considered a subcategory of 'ModerateReductionInChildDepressionScore'?, \nFalse
Can BodyMassIndex that is also LowerDiseaseSusceptibilityOdds be considered a subcategory of 'HighReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can HighReductionInChildDepressionScore that is also LowRemission be considered a subcategory of 'BodyMassIndexDecrease'?, \nFalse
Can GeneExpressionDifference that is also LowReductionInHamiltonAnxietyScore be considered a subcategory of 'PathogenCount'?, \nFalse
Can BodyMassIndexMeasure be considered a subcategory of 'SideEffectFrequency'?, \nFalse
Can GeneExpressionMeasure that is also LipidProfile be considered a subcategory of 'DailyBloodPressure'?, \nFalse
Can PharmacodynamicMeasure that is also SideEffectRate be considered a subcategory of 'SatietyIncrease'?, \nFalse
Can ClinicalOutcomeMeasure that is also CoagulationProfile be considered a subcategory of 'HighReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can DrugEfficacy that is also HamiltonAnxietyScoreDifference be considered a subcategory of 'ModerateHamiltonDepressionScore'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'RemissionMeasure'?, \nTrue
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'RemissionFrequency'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'SatietyFrequency'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'ASAAConcentrationIncrease'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'ERVisitFrequency'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'ForcedExperiatoryVolume'?, \nFalse
Can BloodPressure that is also ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'DailyBloodPressure'?, \nTrue
Can ModerateReductionInHamiltonAnxietyScore be considered a subcategory of 'DailyBloodPressure'?, \nFalse
Can PathogenCount that is also SideEffectFrequency be considered a subcategory of 'MontgomeryAsbergDepressionRatingDifference'?, \nFalse
Can LowMontgomeryAsbergDepressionRating that is also TaxonomicMeasure be considered a subcategory of 'DrugEfficacy'?, \nFalse
Can GeneExpression that is also ModerateReductionInChildDepressionScore be considered a subcategory of 'SideEffectRate'?, \nFalse
Can BodyMassIndex that is also LowHamiltonDepressionScore be considered a subcategory of 'DoseFrequency'?, \nFalse
Can ASAAConcentration that is also MolecularMeasure be considered a subcategory of 'DiseaseFrequency'?, \nFalse
Can DrugEfficacyMeasure that is also LowRemissionOddsRatio be considered a subcategory of 'GeneExpressionDifference'?, \nFalse
Can SideEffectFrequency that is also _24HourBloodPressure be considered a subcategory of 'HamiltonDepressionMeasure'?, \nFalse
Can DiseaseSusceptibilityOdds that is also HamiltonAnxietyScore be considered a subcategory of 'PharmacokineticMeasure'?, \nFalse
Can BloodSerumProteinCount that is also BoneMineralDensity be considered a subcategory of 'GeneExpression'?, \nFalse
Can ChildDepressionMeasure that is also LowReductionInChildDepressionScore be considered a subcategory of 'ASAAConcentrationIncrease'?, \nFalse
Can GenotypeMeasure that is also PharmacodynamicMeasure be considered a subcategory of 'HighDrugEfficacy'?, \nTrue
Can GenotypeMeasure that is also PharmacodynamicMeasure be considered a subcategory of 'SatietyFrequency'?, \nFalse
Can GenotypeMeasure that is also PharmacodynamicMeasure be considered a subcategory of 'ModerateReductionInHamiltonAnxietyScore'?, \nFalse
Can GenotypeMeasure that is also PharmacodynamicMeasure be considered a subcategory of 'ASAAConcentrationIncrease'?, \nTrue
Can LowReductionInHamiltonDepressionScore that is also QualityOfLife be considered a subcategory of 'PlasmaDrugConcentration'?, \nFalse
Can ASAAConcentration that is also WeigthGain be considered a subcategory of 'ASAAMeasure'?, \nFalse
Can ChildDepressionScoreDifference that is also HighDrugEfficacy be considered a subcategory of 'LowReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can GenotypeMeasure that is also Satiety be considered a subcategory of 'ChildDepressionMeasure'?, \nFalse
Can CellCount that is also HighMontgomeryAsbergDepressionRating be considered a subcategory of 'LowReductionInChildDepressionScore'?, \nFalse
Can QualityOfLife that is also ZeroRemission be considered a subcategory of 'LowDrugEfficacy'?, \nFalse
Can BoneMineralDensity that is also NeoplasmFrequency be considered a subcategory of 'Satiety'?, \nFalse
Can BiophysicalMeasure that is also ZeroRemission be considered a subcategory of 'ModerateMontgomeryAsbergDepressionRating'?, \nFalse
Can LowRemission that is also MyocardialInfarctionFrequency be considered a subcategory of 'DrugClearance'?, \nFalse
Can CellCount that is also PulmonaryFunctionMeasure be considered a subcategory of 'MolecularMeasure'?, \nTrue
Can CellCount that is also PulmonaryFunctionMeasure be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can PulmonaryFunctionMeasure be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can CellCount be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can ASAAConcentrationDecrease that is also TissueMeasure be considered a subcategory of 'PopulationVariation'?, \nFalse
Can NormalGeneExpression that is also RemissionOddsRatio be considered a subcategory of 'Weigth'?, \nFalse
Can DecreasedGeneExpression that is also Race be considered a subcategory of 'ForcedExperiatoryVolume'?, \nFalse
Can IncreasedGeneExpression that is also PharmacodynamicMeasure be considered a subcategory of 'ModerateMontgomeryAsbergDepressionRating'?, \nFalse
Can PlasmaDrugConcentration that is also _24HourBloodPressure be considered a subcategory of 'DrugClearance'?, \nTrue
Can PlasmaDrugConcentration that is also _24HourBloodPressure be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can PlasmaDrugConcentration that is also _24HourBloodPressure be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can PlasmaDrugConcentration that is also _24HourBloodPressure be considered a subcategory of 'RemissionFrequency'?, \nTrue
Can _24HourBloodPressure be considered a subcategory of 'RemissionFrequency'?, \nFalse
Can PlasmaDrugConcentration be considered a subcategory of 'RemissionFrequency'?, \nFalse
Can ElectrocardiogramQTInterval that is also SimilarRemissionOddsRatio be considered a subcategory of 'ASAAMeasure'?, \nFalse
Can HamiltonDepressionMeasure that is also LowDrugEfficacy be considered a subcategory of 'LowReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can GenotypeMeasure that is also SatietyMeasure be considered a subcategory of 'Weigth'?, \nFalse
Can ASAAConcentrationDecrease that is also HighReductionInChildDepressionScore be considered a subcategory of 'SimilarDiseaseSusceptibilityOdds'?, \nFalse
Can BloodSerumProteinCount that is also ModerateMontgomeryAsbergDepressionRating be considered a subcategory of 'LowDrugEfficacy'?, \nFalse
Can HighRemissionOddsRatio that is also Race be considered a subcategory of 'Satiety'?, \nFalse
Can BiophysicalMeasure that is also ERVisitFrequency be considered a subcategory of 'SideEffectFrequency'?, \nFalse
Can IncreasedGeneExpression that is also MontgomeryAsbergDepressionRating be considered a subcategory of 'DailyBloodPressure'?, \nFalse
Can ASAAConcentration that is also ModerateReductionInMontgomeryAsbergDepressionRating be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can HamiltonDepressionScoreDifference that is also HighHamiltonDepressionScore be considered a subcategory of 'PopulationVariation'?, \nFalse
Can Race that is also ZeroDrugEfficacy be considered a subcategory of 'ModerateHamiltonDepressionScore'?, \nTrue
Can Race that is also ZeroDrugEfficacy be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can Race that is also ZeroDrugEfficacy be considered a subcategory of 'MolecularMeasure'?, \nTrue
Can Race be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can Race that is also SatietyMeasure be considered a subcategory of 'ModerateReductionInChildDepressionScore'?, \nFalse
Can HighReductionInHamiltonAnxietyScore that is also MetabolicMeasure be considered a subcategory of 'CellCount'?, \nFalse
Can LowReductionInHamiltonAnxietyScore that is also NeoplasmFrequency be considered a subcategory of 'PathogenCount'?, \nTrue
Can LowReductionInHamiltonAnxietyScore that is also NeoplasmFrequency be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can LowReductionInHamiltonAnxietyScore that is also NeoplasmFrequency be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can LowReductionInHamiltonAnxietyScore that is also NeoplasmFrequency be considered a subcategory of 'RemissionFrequency'?, \nTrue
Can DrugClearance be considered a subcategory of 'AnxietyMeasure'?, \nFalse
Can HamiltonDepressionMeasure that is also HamiltonDepressionScore be considered a subcategory of 'IncreasedGeneExpression'?, \nFalse
Can CoagulationProfile that is also Satiety be considered a subcategory of 'SatietyDecrease'?, \nFalse
Can GeneExpression that is also GeneExpressionDifference be considered a subcategory of 'SideEffectMeasure'?, \nFalse
Can NormalGeneExpression that is also RemissionOddsRatio be considered a subcategory of 'HamiltonAnxietyScoreDifference'?, \nFalse
Can HighReductionInMontgomeryAsbergDepressionRating that is also SimilarRemissionOddsRatio be considered a subcategory of 'BoneMineralDensity'?, \nFalse
Can ASAAMeasure that is also TaxonomicMeasure be considered a subcategory of 'WeigthDifference'?, \nTrue
Can ASAAMeasure that is also TaxonomicMeasure be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can ASAAMeasure that is also TaxonomicMeasure be considered a subcategory of 'MolecularMeasure'?, \nTrue
Can TaxonomicMeasure be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can MontgomeryAsbergDepressionRatingDifference that is also _24HourBloodPressure be considered a subcategory of 'ZeroDrugEfficacy'?, \nFalse
Can DepressionMeasure that is also PlasmaDrugConcentration be considered a subcategory of 'HighReductionInHamiltonAnxietyScore'?, \nFalse
Can BodyMassIndexDecrease that is also ModerateMontgomeryAsbergDepressionRating be considered a subcategory of 'PlasmaDrugConcentration'?, \nFalse
Can AirwayResponsivenessUsingMethacholine that is also DrugEfficacyMeasure be considered a subcategory of 'EventFreeSurvivalTime'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'HighReductionInHamiltonDepressionScore'?, \nTrue
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'RemissionFrequency'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'ASAAConcentrationIncrease'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'ERVisitFrequency'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'ForcedExperiatoryVolume'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'DailyBloodPressure'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'HighRemission'?, \nFalse
Can HamiltonDepressionScoreDifference that is also WeigthDifference be considered a subcategory of 'GeneExpressionDifference'?, \nTrue
Can HighReductionInChildDepressionScore that is also SatietyFrequency be considered a subcategory of 'ChildDepressionMeasure'?, \nFalse
Can ForcedExperiatoryVolume that is also NormalGeneExpression be considered a subcategory of 'MontgomeryAsbergDepressionMeasure'?, \nFalse
Can BodyMassIndexIncrease that is also HamiltonDepressionScore be considered a subcategory of 'GeneExpression'?, \nFalse
Can BiologicalMeasure that is also HighHamiltonDepressionScore be considered a subcategory of 'ASAAConcentrationIncrease'?, \nFalse
Can ASAAConcentrationDifference that is also MontgomeryAsbergDepressionMeasure be considered a subcategory of 'EventFreeSurvivalTime'?, \nFalse
Can GeneExpressionDifference that is also TissueMeasure be considered a subcategory of 'HighReductionInHamiltonDepressionScore'?, \nTrue
Can GeneExpressionDifference that is also TissueMeasure be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can GeneExpressionDifference that is also TissueMeasure be considered a subcategory of 'RemissionFrequency'?, \nFalse
Can GeneExpressionDifference that is also TissueMeasure be considered a subcategory of 'SatietyFrequency'?, \nFalse
Can GeneExpressionDifference that is also TissueMeasure be considered a subcategory of 'ModerateReductionInHamiltonAnxietyScore'?, \nTrue
Can TissueMeasure be considered a subcategory of 'ModerateReductionInHamiltonAnxietyScore'?, \nTrue
Can TissueMeasure be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'RemissionFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SatietyFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ASAAConcentrationIncrease'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ERVisitFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ForcedExperiatoryVolume'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DailyBloodPressure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'WeigthDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'GeneExpressionDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ExerciseResponse'?, \nFalse
Can TissueMeasure be considered a subcategory of 'NeoplasmFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'GenotypeMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can TissueMeasure be considered a subcategory of 'QualityOfLife'?, \nFalse
Can TissueMeasure be considered a subcategory of 'AirwayResponsivenessUsingMethacholine'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighReductionInHamiltonAnxietyScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ModerateHamiltonDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowReductionInChildDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BodyMassIndexDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighHamiltonDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HigherDiseaseSusceptibiltyOdds'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ForcedVitalCapacity'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HamiltonDepressionMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'PlasmaDrugConcentration'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ElectrocardiogramQTInterval'?, \nFalse
Can TissueMeasure be considered a subcategory of 'PharmacokineticMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowMontgomeryAsbergDepressionRating'?, \nFalse
Can TissueMeasure be considered a subcategory of 'RemissionMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure'?, \nTrue
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure that is also ModerateReductionInHamiltonAnxietyScore'?, \nTrue
Can TissueMeasure be considered a subcategory of 'GeneExpressionMeasure'?, \nTrue
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure that is also GeneExpressionMeasure that is also ModerateReductionInHamiltonAnxietyScore'?, \nTrue
Can TissueMeasure be considered a subcategory of 'CellCount'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ASAAMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'PopulationVariation'?, \nFalse
Can TissueMeasure be considered a subcategory of 'MetabolicMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'TaxonomicMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowRemission'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DrugClearance'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ASAAConcentrationDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'MontgomeryAsbergDepressionRatingDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ASAAConcentrationDecrease'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ModerateMontgomeryAsbergDepressionRating'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BodyMassIndexMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'IncreasedGeneExpression'?, \nFalse
Can TissueMeasure be considered a subcategory of 'PathogenCount'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SimilarDiseaseSusceptibilityOdds'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SatietyDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DiseaseFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'MontgomeryAsbergDepressionMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'CognitiveMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ModerateReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighMontgomeryAsbergDepressionRating'?, \nFalse
Can TissueMeasure be considered a subcategory of 'WeightLoss'?, \nFalse
Can TissueMeasure be considered a subcategory of 'Gender'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HamiltonAnxietyScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SatietyDecrease'?, \nFalse
Can TissueMeasure be considered a subcategory of 'Weigth'?, \nFalse
Can TissueMeasure be considered a subcategory of 'Race'?, \nFalse
Can TissueMeasure be considered a subcategory of 'WeigthGain'?, \nFalse
Can TissueMeasure be considered a subcategory of 'AsthmaFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DecreasedGeneExpression'?, \nFalse
Can TissueMeasure be considered a subcategory of 'PharmacodynamicMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ModerateRemission'?, \nFalse
Can TissueMeasure be considered a subcategory of 'MontgomeryAsbergDepressionRating'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighReductionInChildDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ZeroRemission'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DoseFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HamiltonAnxietyScoreDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DrugEfficacy'?, \nFalse
Can TissueMeasure be considered a subcategory of 'WeightMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'CoagulationProfile'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowReductionInHamiltonDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BloodPressure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'PulmonaryFunctionMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SatietyIncrease'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DiseaseSusceptibilityOdds'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowHamiltonDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BoneMineralDensity'?, \nFalse
Can TissueMeasure be considered a subcategory of 'NormalGeneExpression'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ReninAngiotensinSystemMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BloodSerumProteinCount'?, \nFalse
Can TissueMeasure be considered a subcategory of 'AnxietyMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HamiltonDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SideEffectRate'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DepressionMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'GeneExpression'?, \nFalse
Can TissueMeasure be considered a subcategory of 'Dose'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SatietyMeasure'?, \nTrue
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure that is also GeneExpressionMeasure that is also ModerateReductionInHamiltonAnxietyScore that is also SatietyMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowerDiseaseSusceptibilityOdds'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SideEffectFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'MyocardialInfarctionFrequency'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ZeroDrugEfficacy'?, \nFalse
Can TissueMeasure be considered a subcategory of 'Satiety'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ClinicalOutcomeMeasure'?, \nTrue
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure that is also ClinicalOutcomeMeasure that is also GeneExpressionMeasure that is also ModerateReductionInHamiltonAnxietyScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LipidProfile'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BodyMassIndexDecrease'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighDrugEfficacy'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BodyMassIndexIncrease'?, \nFalse
Can TissueMeasure be considered a subcategory of '_24HourBloodPressure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighReductionInHamiltonDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BodyMassIndex'?, \nFalse
Can TissueMeasure be considered a subcategory of 'DrugEfficacyMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BiophysicalMeasure'?, \nTrue
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure that is also BiophysicalMeasure that is also GeneExpressionMeasure that is also ModerateReductionInHamiltonAnxietyScore'?, \nTrue
Can TissueMeasure be considered a subcategory of 'ChildDepressionScoreDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowReductionInHamiltonAnxietyScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ChildDepressionMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HamiltonDepressionScoreDifference'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HighRemissionOddsRatio'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowDrugEfficacy'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ErythromycinClearanceMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ModerateReductionInChildDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ASAAConcentration'?, \nFalse
Can TissueMeasure be considered a subcategory of 'ModerateReductionInHamiltonDepressionScore'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SimilarRemissionOddsRatio'?, \nFalse
Can TissueMeasure be considered a subcategory of 'EventFreeSurvivalTime'?, \nFalse
Can TissueMeasure be considered a subcategory of 'LowRemissionOddsRatio'?, \nFalse
Can TissueMeasure be considered a subcategory of 'HomocysteineLevel'?, \nFalse
Can TissueMeasure be considered a subcategory of 'SideEffectMeasure'?, \nFalse
Can TissueMeasure be considered a subcategory of 'RemissionOddsRatio'?, \nFalse
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure that is also BiophysicalMeasure that is also GeneExpressionMeasure that is also ModerateReductionInHamiltonAnxietyScore that is also SatietyMeasure'?, \nTrue
Can TissueMeasure be considered a subcategory of 'BiologicalMeasure that is also BiophysicalMeasure that is also ClinicalOutcomeMeasure that is also GeneExpressionMeasure that is also ModerateReductionInHamiltonAnxietyScore that is also SatietyMeasure'?, \nTrue
Can ModerateReductionInMontgomeryAsbergDepressionRating that is also SideEffectMeasure be considered a subcategory of 'HamiltonAnxietyScoreDifference'?, \nFalse
Can EventFreeSurvivalTime that is also LowRemissionOddsRatio be considered a subcategory of 'MetabolicMeasure'?, \nFalse
Can ASAAConcentrationDifference that is also CognitiveMeasure be considered a subcategory of 'ClinicalOutcomeMeasure'?, \nFalse
Can BodyMassIndexDecrease that is also MontgomeryAsbergDepressionRatingDifference be considered a subcategory of 'RemissionOddsRatio'?, \nFalse
Can HomocysteineLevel that is also ReninAngiotensinSystemMeasure be considered a subcategory of 'HighReductionInHamiltonAnxietyScore'?, \nFalse
Can Gender that is also HamiltonDepressionMeasure be considered a subcategory of 'PlasmaDrugConcentration'?, \nFalse
Can AirwayResponsivenessUsingMethacholine that is also MetabolicMeasure be considered a subcategory of 'ASAAMeasure'?, \nTrue
Can AirwayResponsivenessUsingMethacholine that is also MetabolicMeasure be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can AirwayResponsivenessUsingMethacholine that is also MetabolicMeasure be considered a subcategory of 'MolecularMeasure'?, \nTrue
Can AirwayResponsivenessUsingMethacholine be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can MetabolicMeasure be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can ModerateReductionInHamiltonAnxietyScore that is also WeightLoss be considered a subcategory of 'LowReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can MontgomeryAsbergDepressionRatingDifference that is also WeightMeasure be considered a subcategory of 'ChildDepressionMeasure'?, \nFalse
Can HighReductionInMontgomeryAsbergDepressionRating that is also SideEffectMeasure be considered a subcategory of 'MontgomeryAsbergDepressionMeasure'?, \nTrue
Can HighReductionInMontgomeryAsbergDepressionRating that is also SideEffectMeasure be considered a subcategory of 'ChildDepressionScore'?, \nFalse
Can HighReductionInMontgomeryAsbergDepressionRating that is also SideEffectMeasure be considered a subcategory of 'MolecularMeasure'?, \nTrue
Can HighReductionInMontgomeryAsbergDepressionRating be considered a subcategory of 'MolecularMeasure'?, \nFalse
Can BodyMassIndexIncrease that is also WeightMeasure be considered a subcategory of 'DecreasedGeneExpression'?, \nFalse
Can DiseaseSusceptibilityOdds that is also LowDrugEfficacy be considered a subcategory of 'Satiety'?, \nFalse
Can DepressionMeasure that is also TissueMeasure be considered a subcategory of 'ModerateMontgomeryAsbergDepressionRating'?, \nFalse
Can ExerciseResponse that is also ReninAngiotensinSystemMeasure be considered a subcategory of 'LowHamiltonDepressionScore'?, \nFalse
Can HamiltonDepressionScoreDifference that is also SatietyDecrease be considered a subcategory of 'SideEffectRate'?, \nFalse
Can ERVisitFrequency that is also GeneExpressionMeasure be considered a subcategory of 'DoseFrequency'?, \nFalse
Can AnxietyMeasure that is also CognitiveMeasure be considered a subcategory of 'SatietyIncrease'?, \nFalse
Can ForcedExperiatoryVolume that is also TissueMeasure be considered a subcategory of 'HighReductionInMontgomeryAsbergDepressionRating'?, \nFalse
Can ChildDepressionScore that is also DrugEfficacy be considered a subcategory of 'HamiltonDepressionMeasure'?, \nFalse
