Neuron and StructuralCell SubClassOf Erythrocyte, True
Can Osteocyte be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'CellByOrganism'?, True
Can Osteocyte be considered a subcategory of 'CellByClass that is also CellByOrganism'?, \nFalse
Can Osteocyte be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'StructuralCell'?, \nFalse
Can Osteocyte be considered a subcategory of 'Neuron'?, True
Can Osteocyte be considered a subcategory of 'CellByClass that is also Neuron'?, \nFalse
Can Osteocyte be considered a subcategory of 'ChondroCyte'?, \nFalse
Can CirculatingCell that is also Miocyte be considered a subcategory of 'CellByClass'?, True
Can CirculatingCell that is also Miocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CirculatingCell that is also Miocyte be considered a subcategory of 'LeafCell'?, \nFalse
Can CirculatingCell that is also Miocyte be considered a subcategory of 'Erythrocyte'?, False
Can CirculatingCell that is also Miocyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can CirculatingCell that is also Miocyte be considered a subcategory of 'PlantCell'?, \nFalse
Can Miocyte be considered a subcategory of 'CellByClass'?, \nFalse
Can CirculatingCell be considered a subcategory of 'CellByClass'?, False
Can ElectricallyActiveCell that is also SclerenchymaCell be considered a subcategory of 'ChondroBlast'?, True
Can ElectricallyActiveCell that is also SclerenchymaCell be considered a subcategory of 'LeafCell'?, \nFalse
Can ElectricallyActiveCell that is also SclerenchymaCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can ElectricallyActiveCell that is also SclerenchymaCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can ElectricallyActiveCell that is also SclerenchymaCell be considered a subcategory of 'CirculatingCell'?, True
Can SclerenchymaCell be considered a subcategory of 'CirculatingCell'?, True
Can SclerenchymaCell be considered a subcategory of 'LeafCell'?, \nTrue
Can SclerenchymaCell be considered a subcategory of 'CirculatingCell that is also LeafCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'PlantCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'CellByClass'?, \nTrue
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CirculatingCell'?, True
Can SclerenchymaCell be considered a subcategory of 'MatureCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'Cell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'Miocyte'?, True
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CirculatingCell that is also Miocyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'ChondroBlast'?, True
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also ChondroBlast that is also CirculatingCell'?, False
Can SclerenchymaCell be considered a subcategory of 'MioBlast'?, True
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CirculatingCell that is also MioBlast'?, True
Can SclerenchymaCell be considered a subcategory of 'CellByDevelopmentStage'?, True
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CellByDevelopmentStage that is also CirculatingCell that is also MioBlast'?, False
Can SclerenchymaCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'StructuralCell'?, \nTrue
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CirculatingCell that is also MioBlast that is also StructuralCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'Neuron'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CirculatingCell that is also LeafCell that is also MioBlast'?, False
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CirculatingCell that is also MioBlast that is also Miocyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also ChondroBlast that is also CirculatingCell that is also MioBlast'?, False.
Can CellByClass that is also ElectricallyActiveCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can ChondroBlast that is also CirculatingCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can MioBlast that is also PhotosyntheticCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can AnimalCell that is also StructuralCell be considered a subcategory of 'ChondroCyte'?, True
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also SclerenchymaCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also CirculatingCell'?, \nTrue
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also CirculatingCell that is also PlantCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'CellByClass that is also ChondroCyte that is also CirculatingCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also CirculatingCell that is also MatureCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'Cell that is also ChondroCyte that is also CirculatingCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also CirculatingCell that is also Osteocyte'?, \nFalse
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also CirculatingCell that is also MioBlast'?, \nFalse
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also CirculatingCell that is also PhotoreceptorCell'?, True
Can StructuralCell be considered a subcategory of 'ChondroCyte that is also CirculatingCell that is also ElectricallyActiveCell that is also PhotoreceptorCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'CellByClass that is also ChondroCyte that is also CirculatingCell that is also MatureCell that is also Osteocyte that is also PhotoreceptorCell that is also PlantCell that is also SclerenchymaCell'?, True
Can StructuralCell be considered a subcategory of 'Cell that is also CellByClass that is also ChondroCyte that is also CirculatingCell that is also MatureCell that is also Osteocyte that is also PhotoreceptorCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'CellByClass that is also ChondroCyte that is also CirculatingCell that is also MatureCell that is also MioBlast that is also Osteocyte that is also PhotoreceptorCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can StructuralCell be considered a subcategory of 'CellByClass that is also ChondroCyte that is also CirculatingCell that is also ElectricallyActiveCell that is also MatureCell that is also Osteocyte that is also PhotoreceptorCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can CellByDevelopmentStage that is also ChondroCyte be considered a subcategory of 'PlantCell'?, True
Can CellByDevelopmentStage that is also ChondroCyte be considered a subcategory of 'LeafCell'?, \nFalse
Can CellByDevelopmentStage that is also ChondroCyte be considered a subcategory of 'Erythrocyte'?, \nFalse
Can CellByDevelopmentStage that is also ChondroCyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can CellByDevelopmentStage that is also ChondroCyte be considered a subcategory of 'CirculatingCell'?, \nFalse
Can CellByDevelopmentStage be considered a subcategory of 'PlantCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'PlantCell'?, \nFalse
Can ChondroBlast that is also InMatureCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can InMatureCell that is also Osteocyte be considered a subcategory of 'Miocyte'?, \nFalse
Can Neuron that is also PhotoreceptorCell be considered a subcategory of 'Miocyte'?, False
Can Cell that is also CirculatingCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can Cell that is also Neuron be considered a subcategory of 'StructuralCell'?, \nFalse
Can CellByClass that is also CellByDevelopmentStage be considered a subcategory of 'Osteocyte'?, \nFalse
Can Cell that is also InMatureCell be considered a subcategory of 'Erythrocyte'?, True
Can Cell that is also InMatureCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Cell that is also InMatureCell be considered a subcategory of 'LeafCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'Erythrocyte'?, True
Can InMatureCell be considered a subcategory of 'LeafCell'?, \nTrue
Can InMatureCell be considered a subcategory of 'Erythrocyte that is also LeafCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'PlantCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'CellByClass'?, True
Can InMatureCell be considered a subcategory of 'CellByClass that is also Erythrocyte'?, \nFalse
Can InMatureCell be considered a subcategory of 'MatureCell'?, \nTrue
Can InMatureCell be considered a subcategory of 'Erythrocyte that is also MatureCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'Cell'?, \nFalse
Can InMatureCell be considered a subcategory of 'Miocyte'?, \nFalse
Can InMatureCell be considered a subcategory of 'Osteocyte'?, \nTrue
Can InMatureCell be considered a subcategory of 'Erythrocyte that is also Osteocyte'?, \nFalse
Can InMatureCell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can InMatureCell be considered a subcategory of 'MioBlast'?, \nFalse
Can InMatureCell be considered a subcategory of 'CellByDevelopmentStage'?, True
Can InMatureCell be considered a subcategory of 'CellByDevelopmentStage that is also Erythrocyte'?, True
Can InMatureCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'CellByOrganism'?, True
Can InMatureCell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also Erythrocyte'?, True
Can InMatureCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'Neuron'?, \nFalse
Can InMatureCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can InMatureCell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also Erythrocyte that is also LeafCell'?, \nFalse
Can InMatureCell be considered a subcategory of 'CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also Erythrocyte'?, True
Can InMatureCell be considered a subcategory of 'CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also Erythrocyte that is also MatureCell'?, True
Can InMatureCell be considered a subcategory of 'CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also Erythrocyte that is also MatureCell that is also Osteocyte'?, \nFalse
Can Cell that is also SclerenchymaCell be considered a subcategory of 'AnimalCell'?, True
Can Cell that is also SclerenchymaCell be considered a subcategory of 'LeafCell'?, True
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also LeafCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'LeafCell that is also Miocyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'ChondroBlast that is also LeafCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'LeafCell that is also MioBlast'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'CellByDevelopmentStage that is also LeafCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'LeafCell that is also StructuralCell'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CirculatingCell that is also LeafCell that is also MioBlast that is also Miocyte'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also ChondroBlast that is also CirculatingCell that is also LeafCell that is also MioBlast'?, True
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also CellByDevelopmentStage that is also ChondroBlast that is also CirculatingCell that is also LeafCell that is also MioBlast'?, \nFalse
Can SclerenchymaCell be considered a subcategory of 'CellByClass that is also ChondroBlast that is also CirculatingCell that is also LeafCell that is also MioBlast that is also StructuralCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'Osteocyte'?, \nFalse
Can Miocyte that is also Neuron be considered a subcategory of 'AnimalCell'?, True
Can Miocyte that is also Neuron be considered a subcategory of 'SclerenchymaCell'?, False
Can Miocyte that is also Neuron be considered a subcategory of 'LeafCell'?, \nFalse
Can Miocyte that is also Neuron be considered a subcategory of 'Erythrocyte'?, False
Can Miocyte that is also Neuron be considered a subcategory of 'PhotosyntheticCell'?, True
Can Miocyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can Neuron be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can Miocyte that is also PhotosyntheticCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ChondroCyte that is also Neuron be considered a subcategory of 'StructuralCell'?, True
Can ChondroCyte that is also Neuron be considered a subcategory of 'SclerenchymaCell'?, True
Can Neuron be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'SclerenchymaCell'?, True
Can ChondroCyte be considered a subcategory of 'LeafCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'Erythrocyte'?, \nFalse
Can ChondroCyte be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'CellByClass'?, True
Can ChondroCyte be considered a subcategory of 'CellByClass that is also SclerenchymaCell'?, True
Can ChondroCyte be considered a subcategory of 'MatureCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'AnimalCell'?, \nTrue
Can ChondroCyte be considered a subcategory of 'AnimalCell that is also CellByClass that is also SclerenchymaCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'Cell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'Miocyte'?, \nTrue
Can ChondroCyte be considered a subcategory of 'CellByClass that is also Miocyte that is also SclerenchymaCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'InMatureCell'?, True
Can ChondroCyte be considered a subcategory of 'CellByClass that is also InMatureCell that is also SclerenchymaCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'ChondroBlast'?, \nTrue
Can ChondroCyte be considered a subcategory of 'CellByClass that is also ChondroBlast that is also SclerenchymaCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'MioBlast'?, \nFalse
Can ChondroCyte be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can ChondroCyte be considered a subcategory of 'CellByOrganism'?, \nFalse
Can ChondroCyte be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'StructuralCell'?, \nFalse
Can ChondroCyte be considered a subcategory of 'Neuron'?, \nFalse
Can Cell that is also Miocyte be considered a subcategory of 'MatureCell'?, \nFalse
Can CellByClass that is also MioBlast be considered a subcategory of 'Cell'?, False
Can Miocyte that is also PhotoreceptorCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can ElectricallyActiveCell that is also PhotoreceptorCell be considered a subcategory of 'PhotosyntheticCell'?, True
Can ElectricallyActiveCell that is also PhotoreceptorCell be considered a subcategory of 'SclerenchymaCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'SclerenchymaCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'LeafCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'PhotosyntheticCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'CirculatingCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'CirculatingCell that is also SclerenchymaCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'PlantCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'PlantCell that is also SclerenchymaCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'CellByClass'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'MatureCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'MatureCell that is also SclerenchymaCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also SclerenchymaCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'Cell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'Miocyte'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also Miocyte that is also SclerenchymaCell'?, False
Can PhotoreceptorCell be considered a subcategory of 'InMatureCell'?, False
Can PhotoreceptorCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'ChondroBlast'?, False
Can PhotoreceptorCell be considered a subcategory of 'MioBlast'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also MioBlast that is also SclerenchymaCell'?, False
Can PhotoreceptorCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'CellByOrganism'?, False
Can PhotoreceptorCell be considered a subcategory of 'ElectricallyActiveCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'Neuron'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also Neuron that is also SclerenchymaCell'?, False
Can PhotoreceptorCell be considered a subcategory of 'ChondroCyte'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also SclerenchymaCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also CirculatingCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, False
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also MatureCell that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also Miocyte that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell'?, False
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also MioBlast that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell'?, True
Can PhotoreceptorCell be considered a subcategory of 'AnimalCell that is also ChondroCyte that is also MioBlast that is also Neuron that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'PlantCell'?, True
Can PhotosyntheticCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'LeafCell'?, True
Can PhotosyntheticCell be considered a subcategory of 'Erythrocyte'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'LeafCell that is also PlantCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CellByClass'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByClass that is also LeafCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'MatureCell'?, False
Can PhotosyntheticCell be considered a subcategory of 'AnimalCell'?, False
Can PhotosyntheticCell be considered a subcategory of 'Cell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Miocyte'?, False
Can PhotosyntheticCell be considered a subcategory of 'InMatureCell'?, True
Can PhotosyntheticCell be considered a subcategory of 'InMatureCell that is also LeafCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Osteocyte'?, True
Can PhotosyntheticCell be considered a subcategory of 'LeafCell that is also Osteocyte'?, False
Can PhotosyntheticCell be considered a subcategory of 'ChondroBlast'?, False
Can PhotosyntheticCell be considered a subcategory of 'MioBlast'?, True
Can PhotosyntheticCell be considered a subcategory of 'LeafCell that is also MioBlast'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'PhotoreceptorCell'?, True
Can PhotosyntheticCell be considered a subcategory of 'LeafCell that is also MioBlast that is also PhotoreceptorCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CellByOrganism'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByOrganism that is also LeafCell that is also MioBlast'?, True
Can PhotosyntheticCell be considered a subcategory of 'ElectricallyActiveCell'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also MioBlast'?, False.
Can PhotosyntheticCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'Neuron'?, False
Can PhotosyntheticCell be considered a subcategory of 'ChondroCyte'?, False
Can PhotosyntheticCell be considered a subcategory of 'CellByOrganism that is also LeafCell that is also MioBlast that is also PlantCell'?, \nFalse
Can PhotosyntheticCell be considered a subcategory of 'CellByClass that is also CellByOrganism that is also LeafCell that is also MioBlast'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByClass that is also CellByOrganism that is also InMatureCell that is also LeafCell that is also MioBlast'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByClass that is also CellByOrganism that is also InMatureCell that is also LeafCell that is also MioBlast that is also Osteocyte'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByClass that is also CellByOrganism that is also InMatureCell that is also LeafCell that is also MioBlast that is also Osteocyte that is also PhotoreceptorCell'?, True
Can PhotosyntheticCell be considered a subcategory of 'CellByClass that is also CellByOrganism that is also ElectricallyActiveCell that is also InMatureCell that is also LeafCell that is also MioBlast that is also Osteocyte that is also PhotoreceptorCell'?, \nFalse
Can ElectricallyActiveCell that is also MioBlast be considered a subcategory of 'StructuralCell'?, False
Can CellByDevelopmentStage that is also ChondroBlast be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can Cell be considered a subcategory of 'PhotoreceptorCell'?, \nTrue
Can Cell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can Cell be considered a subcategory of 'LeafCell'?, True
Can Cell be considered a subcategory of 'LeafCell that is also SclerenchymaCell'?, True
Can Cell be considered a subcategory of 'PhotosyntheticCell'?, True
Can Cell be considered a subcategory of 'LeafCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, False
Can Cell be considered a subcategory of 'CirculatingCell'?, \nFalse
Can Cell be considered a subcategory of 'PlantCell'?, True
Can Cell be considered a subcategory of 'LeafCell that is also PlantCell that is also SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'CellByClass'?, True
Can Cell be considered a subcategory of 'CellByClass that is also LeafCell that is also SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'MatureCell'?, True
Can Cell be considered a subcategory of 'LeafCell that is also MatureCell that is also SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'AnimalCell'?, True
Can Cell be considered a subcategory of 'AnimalCell that is also LeafCell that is also SclerenchymaCell'?, False
Can Cell be considered a subcategory of 'Miocyte'?, True
Can Cell be considered a subcategory of 'LeafCell that is also Miocyte that is also SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'InMatureCell'?, \nFalse
Can Cell be considered a subcategory of 'Osteocyte'?, \nTrue
Can Cell be considered a subcategory of 'LeafCell that is also Osteocyte that is also SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'ChondroBlast'?, \nFalse
Can Cell be considered a subcategory of 'MioBlast'?, True
Can Cell be considered a subcategory of 'LeafCell that is also MioBlast that is also SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'CellByDevelopmentStage'?, \nTrue
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also LeafCell that is also SclerenchymaCell'?, True
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also LeafCell that is also PhotoreceptorCell that is also SclerenchymaCell'?, \nFalse
Can Cell be considered a subcategory of 'CellByOrganism'?, True
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also LeafCell that is also SclerenchymaCell'?, True
Can Cell be considered a subcategory of 'ElectricallyActiveCell'?, \nTrue
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also SclerenchymaCell'?, True
Can Cell be considered a subcategory of 'StructuralCell'?, \nTrue
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'Neuron'?, True
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also Neuron that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also Neuron that is also PhotosyntheticCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also Neuron that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also Neuron that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also Neuron that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'AnimalCell that is also CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also Neuron that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'AnimalCell that is also CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also Miocyte that is also Neuron that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'AnimalCell that is also CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also Miocyte that is also Neuron that is also Osteocyte that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, \nFalse
Can Cell be considered a subcategory of 'AnimalCell that is also CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also Neuron that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can Cell be considered a subcategory of 'AnimalCell that is also CellByClass that is also CellByDevelopmentStage that is also CellByOrganism that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also Neuron that is also PhotoreceptorCell that is also PhotosyntheticCell that is also PlantCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can CirculatingCell that is also MioBlast be considered a subcategory of 'InMatureCell'?, True
Can CirculatingCell that is also MioBlast be considered a subcategory of 'SclerenchymaCell'?, True
Can CirculatingCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'SclerenchymaCell'?, True
Can MioBlast be considered a subcategory of 'Erythrocyte'?, True
Can MioBlast be considered a subcategory of 'Erythrocyte that is also SclerenchymaCell'?, \nFalse
Can MioBlast be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can MioBlast be considered a subcategory of 'CirculatingCell'?, \nFalse
Can MioBlast be considered a subcategory of 'PlantCell'?, True
